ID,tweet_id,dog_type
0,669993076832759809,pupper
1,672160042234327040,pupper
2,672205392827572224,pupper
3,672254177670729728,pupper
4,672481316919734272,pupper
5,672594978741354496,pupper
6,672614745925664768,pupper
7,672622327801233409,pupper
8,672898206762672129,pupper
9,672970152493887488,pupper
10,672975131468300288,pupper
11,672988786805112832,pupper
12,673148804208660480,pupper
13,673295268553605120,pupper
14,673342308415348736,pupper
15,673363615379013632,pupper
16,673612854080196609,pupper
17,673656262056419329,pupper
18,673697980713705472,pupper
19,673707060090052608,pupper
20,673919437611909120,pupper
21,673956914389192708,pupper
22,674038233588723717,pupper
23,674045139690631169,pupper
24,674262580978937856,pupper
25,674318007229923329,pupper
26,674447403907457024,pupper
27,674638615994089473,pupper
28,674664755118911488,pupper
29,674737130913071104,pupper
30,674774481756377088,pupper
31,675006312288268288,pupper
32,675113801096802304,pupper
33,675334060156301312,pupper
34,675432746517426176,pupper
35,675740360753160193,pupper
36,675820929667219457,pupper
37,675845657354215424,pupper
38,675853064436391936,pupper
39,675898130735476737,pupper
40,676263575653122048,pupper
41,676440007570247681,pupper
42,676470639084101634,pupper
43,676575501977128964,pupper
44,676593408224403456,pupper
45,676603393314578432,pupper
46,676617503762681856,pupper
47,676819651066732545,pupper
48,676916996760600576,pupper
49,676936541936185344,pupper
50,677269281705472000,pupper
51,677557565589463040,pupper
52,678278586130948096,pupper
53,678341075375947776,pupper
54,678389028614488064,pupper
55,678708137298427904,pupper
56,678800283649069056,pupper
57,679405845277462528,pupper
58,679503373272485890,pupper
59,679527802031484928,pupper
60,679777920601223168,pupper
61,679828447187857408,pupper
62,680100725817409536,pupper
63,680145970311643136,pupper
64,680176173301628928,pupper
65,680191257256136705,pupper
66,680473011644985345,pupper
67,680494726643068929,pupper
68,680583894916304897,pupper
69,680836378243002368,pupper
70,681231109724700672,pupper
71,681654059175129088,pupper
72,681679526984871937,pupper
73,681694085539872773,pupper
74,681891461017812993,pupper
75,682406705142087680,pupper
76,682788441537560576,pupper
77,683078886620553216,pupper
78,683111407806746624,pupper
79,683142553609318400,pupper
80,683462770029932544,pupper
81,683481228088049664,pupper
82,683828599284170753,pupper
83,683834909291606017,pupper
84,683857920510050305,pupper
85,684147889187209216,pupper
86,684200372118904832,pupper
87,684222868335505415,pupper
