ID,tweet_id,dog_type
227,747933425676525569,floofer
228,747963614829678593,pupper
229,748337862848962560,pupper
230,748575535303884801,pupper
231,748692773788876800,doggo
232,748932637671223296,doggo
233,749036806121881602,doggo
234,749075273010798592,doggo
235,749317047558017024,floofer
236,749417653287129088,pupper
237,750011400160841729,doggo
238,750071704093859840,pupper
239,750383411068534784,pupper
240,750506206503038976,pupper
241,750868782890057730,pupper
242,751132876104687617,puppo
243,751251247299190784,floofer
244,751456908746354688,pupper
245,751583847268179968,doggo
246,751950017322246144,pupper
247,752334515931054080,doggo
248,752519690950500352,puppo
249,752568224206688256,doggo
250,752660715232722944,doggo
251,752682090207055872,doggo
252,753420520834629632,doggo
253,755206590534418437,doggo
254,755955933503782912,pupper
255,756275833623502848,puppo
256,756526248105566208,doggo
257,756939218950160384,pupper
258,757393109802180609,doggo
259,758828659922702336,doggo
260,759793422261743616,doggo
261,759793422261743616,pupper
262,759943073749200896,pupper
263,760521673607086080,doggo
264,760893934457552897,doggo
265,765371061932261376,pupper
266,767191397493538821,doggo
267,768193404517830656,doggo
268,771908950375665664,doggo
269,772193107915964416,pupper
270,772877495989305348,doggo
271,773547596996571136,pupper
272,773922284943896577,floofer
273,773985732834758656,pupper
274,775364825476165632,doggo
275,775733305207554048,doggo
276,776113305656188928,pupper
277,776218204058357768,floofer
278,776477788987613185,pupper
279,778027034220126208,pupper
280,778039087836069888,pupper
281,779377524342161408,pupper
282,780074436359819264,doggo
283,780543529827336192,floofer
284,780931614150983680,puppo
285,781308096455073793,doggo
286,781308096455073793,pupper
287,781655249211752448,doggo
288,782305867769217024,doggo
289,782747134529531904,doggo
290,784183165795655680,puppo
291,785639753186217984,doggo
292,785639753186217984,pupper
293,786363235746385920,doggo
294,787717603741622272,puppo
295,789903600034189313,pupper
296,790946055508652032,puppo
297,793195938047070209,puppo
298,794205286408003585,pupper
299,794332329137291264,floofer
300,795464331001561088,doggo
301,796080075804475393,floofer
302,796484825502875648,doggo
303,797971864723324932,pupper
304,799757965289017345,doggo
305,800018252395122689,doggo
306,800388270626521089,floofer
307,800459316964663297,pupper
308,801115127852503040,doggo
309,801115127852503040,pupper
310,802239329049477120,puppo
311,802265048156610565,doggo
312,802265048156610565,pupper
313,803638050916102144,pupper
314,803773340896923648,puppo
315,805826884734976000,puppo
316,807621403335917568,pupper
317,808106460588765185,doggo
318,808106460588765185,pupper
319,808733504066486276,pupper
320,811386762094317568,pupper
321,813096984823349248,doggo
322,813127251579564032,doggo
323,813202720496779264,doggo
324,813910438903693312,doggo
325,814986499976527872,pupper
326,815966073409433600,pupper
327,815990720817401858,doggo
328,817777686764523521,pupper
329,819004803107983360,doggo
330,819006400881917954,doggo
331,819238181065359361,pupper
332,819924195358416896,doggo
333,819952236453363712,puppo
334,820690176645140481,floofer
335,821107785811234820,doggo
336,821407182352777218,doggo
337,821765923262631936,doggo
338,822462944365645825,pupper
339,822872901745569793,puppo
340,824325613288833024,pupper
341,825026590719483904,puppo
342,825535076884762624,puppo
343,826204788643753985,doggo
344,826476773533745153,doggo
345,826848821049180160,doggo
346,826958653328592898,doggo
347,827933404142436356,pupper
348,828381636999917570,doggo
349,829374341691346946,doggo
350,829449946868879360,doggo
351,831315979191906304,pupper
352,831322785565769729,doggo
353,831939777352105988,doggo
354,832032802820481025,doggo
355,832273440279240704,doggo
356,832998151111966721,doggo
357,833124694597443584,pupper
358,834089966724603904,doggo
359,834574053763584002,doggo
360,836380477523124226,pupper
361,836753516572119041,doggo
362,837110210464448512,pupper
363,837366284874571778,puppo
364,837820167694528512,pupper
365,841439858740625411,doggo
366,845306882940190720,pupper
367,845397057150107648,doggo
368,846514051647705089,doggo
369,850019790995546112,pupper
370,854010172552949760,doggo
371,854120357044912130,pupper
372,855851453814013952,puppo
373,858843525470990336,doggo
374,858843525470990336,puppo
375,859607811541651456,puppo
376,866450705531457537,pupper
377,866686824827068416,puppo
378,867421006826221569,puppo
379,869596645499047938,doggo
380,871102520638267392,doggo
381,871515927908634625,doggo
382,871762521631449091,pupper
383,871879754684805121,puppo
384,872967104147763200,doggo
385,873213775632977920,pupper
386,874012996292530176,puppo
387,874296783580663808,pupper
388,876120275196170240,puppo
389,876537666061221889,doggo
390,876838120628539392,pupper
391,878776093423087618,puppo
392,881536004380872706,pupper
393,881666595344535552,pupper
394,881906580714921986,floofer
395,882762694511734784,pupper
396,883360690899218434,floofer
397,884162670584377345,doggo
398,886366144734445568,pupper
399,887101392804085760,floofer
400,889531135344209921,puppo
401,889665388333682689,puppo
402,890240255349198849,doggo
